Description,TotalSalesDollars,ProfitMargin
Barsol Primero Quebranta Pso,1159.4200000000003,8.38867709716929
Bartenura Ovidia Est Chianti,1371.0200000000002,28.00105031290573
Basilica Amaretto,9.49,25.395152792413068
Basilica Sambuca,8207.459999999932,68.74830946480371
Batavia Arrack Rum,31.99,28.071272272585173
Be. Bright Pnt Grigio,676.8700000000005,60.627594663672525
Beaucanon Merlot Napa,80.97,54.64987032234161
Beaulieu Cstl Clr Slct Chard,167.76,0.6437768240343253
Beaux Freres Pnt Nr Will Vly,4679.219999999995,69.43336709964478
Beaux Freres Vyds Pnt Nr,2339.7399999999993,84.8188260234043
Becker Family Pnt Bl,270.85,48.42901975263061
Beefeater 24,7226.269999999962,12.947641139501073
Belguardo Serrata Toscana,4195.799999999988,93.56499356499354
Bella Bolla Red Moscato,89.88,33.778371161548726
Bella Italia Pnt Grigio Ter,335.64,21.201287093314257
Bella Sera Pnt Nr Venezie,155.76,30.97072419106317
Bellafina Prosecco,2054.0100000000007,56.54256795244426
BenRiach Barrel 94,5579.689999999999,3.7079120883059558
Beniotome Sesame Shochu,3478.8399999999933,99.36156879879499
Benton Lane Pnt Gris Willamt,1918.8000000000006,10.90004169272462
Benton Lane Pnt Nr Ore,14870.389999999927,31.273893959741123
Benvolio Pnt Grigio Friuli,5315.2199999999875,91.36968930730993
Benvolio Toscana Rosso,623.52,32.409545804464976
Berentzen Apple Liqueur,2842.509999999995,40.94163257121337
Berentzen Bushel & Barrel,589.1500000000001,64.77747304390354
Beringer KVR Cab Svgn,6048.78999999999,8.297692596370391
Berkshire Mtn Ethereal Gin,874.71,71.42824478970174
Bertani Amarone 04,4179.559999999997,89.46372345414349
Bertani Amarone 1993,849.95,59.998823460203546
Bertani Secco 11 Orig V Ed,1424.4300000000003,86.77927311275388
Bertani Villa Arvedi Amarone,1079.76,83.86863747499443
Big Claw White,194.85,35.026943802925324
Big House White,1174.8800000000006,71.43708293612966
Big Peat Scotch,6926.829999999986,38.62647127185152
Bird Dog Bourbon,25924.130000000503,62.85892718482814
Bird Dog Chocolate Whiskey,6604.719999999966,29.589142310347395
Bird Dog Hot Cinnamon Whisky,152.91,24.249558563861097
Bird Dog Maple Whiskey,1302.2700000000004,1.7945587320602328
Black Box Moscato B/B,89.94,56.14854347342673
Black Button Citrus Gin,7725.339999999976,69.26478316811937
Black Velvet,3072.3099999999818,98.25278048113634
Black Velvet Cinnamon Rush,7122.8699999999235,69.19050888195316
Black Velvet Reserve,12001.679999999908,86.01795748595185
Black Velvet Toasted Caramel,1737.1000000000022,78.01853664152901
Blackstone Winemakers Malbec,359.40000000000003,80.46466332776852
Bliss Merlot,167.88,32.88062902072909
